Hán Tự,Pinyin,Nghĩa 1,Hán Việt,Nghĩa 2
下属,xiàshǔ,thuộc hạ,,
下星期,xià xīngqí,tuần sau,,
下班,xiàbān,"tan ca, tan sở",,
下载,xiàzài,"tải xuống, download",,
下降,xiàjiàng,"hạ thấp, hạ xuống",,
下雨,xià yǔ,đổ mưa,,
下雪,xià xuě,tuyết rơi,,
下面,xiàmiàn,"bên dưới, mặt dưới",,
不,bù,không,,
不仅,bùjǐn,không chỉ,,
不但,bùdàn,không những,,
不但…而且,bùdàn…érqiě,không những mà còn,,
不便,bùbiàn,bất tiện,,
不停,bù tíng,không ngừng,,
不像话,bù xiànghuà,"không hợp lý, kỳ quái",,
不光,bùguāng,"không chỉ, chẳng những",,
不免,bùmiǎn,không tránh khỏi,,
不可思议,bùkěsīyì,"không thể tưởng tượng nổi, kỳ diệu",,
不同,bùtóng,"khác nhau, bất đồng",,
不堪,bùkān,"không chịu nổi, không chịu thấu",,
不好意思,bù hǎoyìsi,"không hay, xin lỗi",,
不如,bùrú,"không như, chi bằng",,
不妨,bùfáng,đừng ngại,,
不安,bù'ān,bất an,,
不宜,bùyí,"không thích hợp, không nên",,
不客气,bù kèqì,đừng khách sáo,,
不少,bù shǎo,không ít,,
不屑一顾,bùxiè yī gù,"(không đáng để xem tới, miêu tả sự khinh thị 1 cách cực đoan)",,
不得不,bùdé bù,"không thể không, phải",,
不得了,bùdéle,"quá sức, cực kỳ",,
不得已,bùdéyǐ,bất đắc dĩ,,
不必,bùbì,không nhất thiết,,
不惜,bùxī,không tiếc,,
不愧,bùkuì,không hổ,,
不择手段,bùzéshǒuduàn,không từ thủ đoạn,,
不敢当,bù gǎndāng,không dám làm,,
不料,bùliào,"không liệu được, không ngờ",,
不断,bùduàn,không ngừng,,
不时,bùshí,"thỉnh thoảng, đôi khi",,
不是,bùshì,"không phải, không là",,
不止,bùzhǐ,"không dứt, không thôi",,
不然,bùrán,"nếu không, bằng không",,
不用,bùyòng,không cần,,
不由得,bùyóudé,"không được, đành phải",,
不相上下,bù xiāng shàngxià,ngang nhau,,
不禁,bùjīn,"không kềm nổi, không nhịn được",,
不管,bùguǎn,bất kể,bất quản,
不耐烦,bù nàifán,không nhẫn nại,,
不能,bùnéng,không thể,,
不要,bùyào,"1. không được, không nên; 2. không muốn",,
不要紧,bùyàojǐn,"không sao cả, không hề gì",,
不见得,bùjiàn dé,"chưa chắc, không nhất thiết",,
不言而喻,bù yán ér yù,"không nói cũng rõ, không nói cũng hiểu",,
不足,bùzú,không đủ,,
不过,bùguò,"nhưng, nhưng mà",,
不错,bùcuò,"tuyệt, đúng,",,
不顾,bùgù,"không quan tâm, bất cần",,
与,yǔ,"với, cùng",,
与其,yǔqí,thà…; thà… còn hơn,,
与日俱增,yǔrìjùzēng,càng ngày càng tăng,,
丑,chǒu,xấu,,
丑恶,chǒu'è,"xấu xa, bôi nhọ",,
专业,zhuānyè,"chuyên nghiệp, chuyên ngành",,
专利,zhuānlì,bản quyền sáng chế,,
专家,zhuānjiā,chuyên gia,,
专心,zhuānxīn,chuyên tâm,,
专科,zhuānkē,"chuyên khoa, chuyên ngành",,
专程,zhuānchéng,"chuyên, đặc biệt,",,
专长,zhuāncháng,sở trường,,
专门,zhuānmén,"1. đặc biệt; riêng biệt; 2. chuyên môn, chuyên",,
专门化,zhuānmén huà,chuyên môn hóa,,
专题,zhuāntí,chuyên đề,,
世代,shìdài,"thời đại, mấy đời",,
世界,shìjiè,thế giới,,
世界观,shìjièguān,thế giới quan,,
世纪,shìjì,thế kỷ,,
丘陵,qiūlíng,"đồi, đồi núi",,
丙,bǐng,"Bính, 3, C",,
业余,yèyú,nghiệp dư,,
业务,yèwù,nghiệp vụ,,
丛,cóng,"tập hợp, cụm, bụi",,
东,dōng,phương đông,,
东张西望,dōngzhāngxīwàng,nhìn đông nhìn tây,,
东西,dōngxī,đồ vật,,
东道主,dōngdàozhǔ,"chủ nhà, chủ tiệc",,
丝毫,sīháo,"mảy may, tí ti",,
丝绸,sīchóu,tơ lụa,,
丢,diū,"đánh rơi, đánh mất",,
丢三落四,diūsānlàsì,vứt bừa bãi,,
丢人,diūrén,mất mặt,,
丢失,diūshī,mất đi,,
丢弃,diūqì,"vứt bỏ, quăng đi",,
丢掉,diūdiào,mất đi,,
两,liǎng,"hai cái, cả hai",,
严厉,yánlì,nghiêm khắc,,
严密,yánmì,"nghiêm mật, kín đáo, chặt chẽ",,
严寒,yánhán,"cực lạnh, rất lạnh",,
严峻,yánjùn,"nghiêm khắc, gay gắt",,
严格,yángé,nghiêm khắc,,
严禁,yánjìn,nghiêm cấm,,
严肃,yánsù,nghiêm túc,,
严重,yánzhòng,nghiêm trọng,,
丧失,sàngshī,"mất đi, mất mát",,
个,gè,"mỗi (cá nhân, vật nói chung)",,
个人,gèrén,cá nhân,,
个体,gètǐ,cá thể,,
个别,gèbié,cá biệt,,
个子,gèzi,"vóc dáng, vóc người, thân hình",,
个性,gèxìng,cá tính,,
中介,zhōngjiè,"trung giới, môi giới",,
中午,zhōngwǔ,buổi trưa,,
中国,zhōngguó,Trung Quốc,,
中央,zhōng yāng,trung ương,,
中心,zhōngxīn,trung tâm,,
中文,zhōngwén,Trung văn,,
中断,zhōngduàn,"gián đoạn, ngắt đoạn",,
中旬,zhōngxún,trung tuần,,
中立,zhōnglì,trung lập,,
中间,zhōngjiān,ở giữa,,
中餐,zhōngcān,món ăn Trung Quốc,,
丰富,fēngfù,phong phú,,
丰收,fēngshōu,được mùa,,
丰满,fēngmǎn,sung túc,,
丰盛,fēngshèng,"phong phú, thịnh soạn",,
串,chuàn,"xuyên suốt, xâu chuỗi",,
临床,línchuáng,lâm sàng,,
临时,línshí,"lâm thời; đến khi, đến lúc",,
丸,wán,"viên (vật nhỏ vê tròn), thuốc viên",,
为,wèi,vì,,
为了,wèile,"để, vì (biểu thị mục đích)",,
为什么,wèishéme,"vì sao, tại sao",,
为期,wéiqí,"kỳ hạn, thời gian",,
为此,wèi cǐ,vì thế,,
为难,wéinán,làm khó,,
为首,wéishǒu,"dẫn đầu, cầm đầu",,
主人,zhǔrén,chủ nhân,,
主任,zhǔrèn,chủ nhiệm,,
主办,zhǔbàn,người chịu trách nhiệm chính,,
主动,zhǔdòng,chủ động,,
主导,zhǔdǎo,chủ đạo (chức),,
主席,zhǔxí,chủ tịch,,
主张,zhǔzhāng,chủ trương,,
主意,zhǔyì,chú ý,,
主持,zhǔchí,chủ trì,,
主权,zhǔquán,chủ quyền,,
主流,zhǔliú,"chủ lưu, dòng chính; xu hướng chính",,
主演,zhǔyǎn,"chủ diễn, diễn chính",,
主管,zhǔguǎn,chủ quản,,
主要,zhǔyào,chủ yếu,,
主要 ,zhǔyào ,chủ yếu,,
主观,zhǔguān,chủ quan,,
主题,zhǔtí,chủ đề,,
举,jǔ,"cử, tổ chức",,
举世瞩目,jǔshì zhǔmù,"(ý chỉ toàn thể thế giới đều quan tâm chú ý, miêu tả sự ảnh hưởng lớn)",,
举世闻名,jǔshì wénmíng,"(ý nghĩa là những sự việc mà cả thế giới đều biết, miêu tả sự vô cùng nổi tiếng)",,
举办,jǔbàn,tổ chức,,
举动,jǔdòng,cử động,,
举行,jǔxíng,cử hành,,
举足轻重,jǔzúqīngzhòng,"hết sức quan trọng, có ảnh hưởng",,
久,jiǔ,lâu,cửu,
久远,jiǔyuǎn,xa,,
义务,yìwù,nghĩa vụ,,
之,zhī,"của, hướng tới",,
乌黑,wūhēi,"đen thui, đen sẫm",,
乐意,lè yì,"hài lòng, vui sướng",,
乐观,lèguān,lạc quan,,
乐谱,yuèpǔ,"bản nhạc, nhạc phổ",,
乐趣,lèqù,"niềm vui, hứng thú",,
乒乓球,pīngpāng qiú,bóng bàn,,
乖,guāi,ngoan,,
乘,chéng,"đón xe, ngồi, nhân (dịp)",,
乘务员,chéngwùyuán,"nhân viên phục vụ (tàu xe, máy bay)",,
乘坐,chéngzuò,"ngồi (xe, tàu, máy bay)",,
乙,yǐ,"Ất, 100 triệu",,
九,jiǔ,số 9,,
乞丐,qǐgài,"ăn xin, ăn mày",,
也,yě,cũng,,
也许,yěxǔ,"có lẽ, có thể",,
习俗,xísú,tập tục,,
习惯,xíguàn,"tập quán, thói quen",,
乡村,xiāngcūn,"nông thôn, làng xã",,
乡镇,xiāngzhèn,làng quê và thị trấn,,
书,shū,sách,,
书包,shūbāo,cặp sách,,
书店,shūdiàn,hiệu sách,,
书架,shūjià,giá sách,,
书法,shūfǎ,thư pháp,,
书籍,shūjí,"thư tịch, sách vở",,
书记,shūjì,thư ký,,
书面,shūmiàn,văn bản,,
买,mǎi,mua,,
买不到,mǎi bù dào,mua không được,,
买到,mǎi dào,mua được,,
乱,luàn,"loạn, lộn xộn",,
乱子,luànzi,"việc gây rối, hỗn loạn",,
乱说,luàn shuō,"nói bừa, nói loạn",,
了,le,rồi,,
了不起,liǎobùqǐ,tài giỏi,,
了解,liǎojiě,"hiểu, tìm hiểu",,
予以,yǔyǐ,"cho, giúp cho",,
争先恐后,zhēngxiānkǒnghòu,"chen lấn, vượt lên trước",,
争取,zhēngqǔ,tranh thủ,,
争夺,zhēngduó,"tranh đoạt, giành giật",,
争气,zhēngqì,"không chịu thua kém, hăng hái tranh giành",,
争端,zhēngduān,tranh chấp,,
争议,zhēngyì,tranh luận,,
争论,zhēnglùn,tranh luận,,
事,shì,"việc, Sự",,
事业,shìyè,sự nghiệp,,
事件,shìjiàn,sự kiện,,
事儿,shì er,"sự, sự việc",,
事先,shìxiān,"sự tiên, trước đó",,
事务,shìwù,sự vụ,,
事实,shìshí,sự thực,,
事态,shìtài,"tình thế, tình hình (xấu)",,
事情,shìqíng,"sự việc, sự tình",,
事故,shìgù,sự cố,,
事物,shìwù,sự vật,,
事迹,shìjì,sự tích,,
事项,shìxiàng,hạng mục công việc,,
二,èr,số 2,,
二氧化碳,èryǎnghuàtàn,"CO2, Cacbon dioxit",,
于是,yúshì,"thế là, ngay sau đó",,
亏待,kuīdài,"xử tệ, đối đãi kém",,
亏损,kuīsǔn,"lỗ vốn, hư hao",,
云,yún,mây,,
互相,hùxiāng,"lẫn nhau, qua lại, tương hỗ",,
互联网,hùliánwǎng,internet,,
五,wǔ,số 5,,
井,jǐng,giếng,,
亚军,yàjūn,á quân,,
亚洲,Yàzhōu,Á Châu,,
些,xiē,"một số, một vài",,
交,jiāo,giao,,
交代,jiāodài,"bàn giao, dặn dò, nói rõ",,
交叉,jiāochā,đan chéo; đan xen,,
交往,jiāowǎng,"quan hệ qua lại, giao du",,
交换,jiāohuàn,"giao hoán, trao đổi",,
交易,jiāoyì,giao dịch,,
交朋友,jiāo péngyǒu,giao kết bạn,,
交流,jiāoliú,giao lưu,,
交涉,jiāoshè,can thiệp; điều đình,,
交给,jiāo gěi,giao cho,,
交谈,jiāotán,"nói chuyện, trò chuyện",,
交通,jiāotōng,giao thông,,
交际,jiāojì,giao tế,,
亦,yì,cũng (Diệc),,
产业,chǎnyè,sản nghiệp,,
产品,chǎnpǐn,sản phẩm,,
产生,chǎnshēng,"sản sinh, ra đời, nảy sinh",,
产量,chǎnliàng,sản lượng,,
享受,xiǎngshòu,hưởng thụ,,
京剧,jīngjù,Kinh kịch,,
亭子,tíngzi,"đình, cái đình",,
亮,liàng,"LƯỢNG, sáng, phát sáng",,
亲切,qīnqiè,thân thiết,,
亲密,qīnmì,thân mật,,
亲戚,qīnqī,"người thân, thân thích",,
亲热,qīnrè,"thân mật, nồng nhiệt",,
亲爱,qīn'ài,thân ái,,
亲自,qīnzì,"thân tự, tự thân",,
亲身,qīnshēn,"tự mình, bản thân",,
人,rén,"nhân, người",,
人为,rénwéi,con người làm ra,,
人事,rénshì,nhân sự,,
人们,rénmen,"mọi người, người người",,
人体,réntǐ,"nhân thể, thân thể",,
人口,rénkǒu,nhân khẩu,,
人员,rényuán,nhân viên,,
人士,rénshì,nhân sĩ,,
人家,rénjiā,người nhà,,
人工,réngōng,nhân công,,
人心,rénxīn,lòng người,,
人性,rénxìng,nhân tính,,
人才,réncái,nhân tài,,
人数,rénshù,số người,,
人格,réngé,nhân cách,,
人民币,rénmínbì,nhân dân tệ (tiền),,
人物,rénwù,nhân vật,,
人生,rénshēng,"nhân sinh, đời người",,
人类,rénlèi,nhân loại,,
人脑,rén nǎo,não người,,
人质,rénzhì,con tin,,
人道,réndào,nhân đạo,,
人间,rénjiān,nhân gian,,
亿,yì,một trăm triệu,,
什么,shénme,"cái gì, gì, nào",,
仁慈,réncí,nhân từ,,
仅仅,jǐnjǐn,"chỉ, vẻn vẹn",,
今后,jīnhòu,"sau này, từ nay về sau",,
今天,jīntiān,hôm nay,,
介绍,jièshào,giới thiệu,,
仍,réng,vẫn,,
仍旧,réngjiù,"như cũ, vẫn, cứ",,
仍然,réngrán,"vẫn cứ, tiếp tục",,
从,cóng,"từ, tòng, theo",,
从事,cóngshì,gia nhập,,
从前,cóngqián,trước đây; thuở xưa; lúc trước,,
从容,cóngróng,ung dung,,
从容不迫,cóngróngbùpò,điềm tĩnh,,
从小,cóngxiǎo,từ nhỏ,,
从来,cónglái,từ trước đến nay,,
从此,cóngcǐ,"từ đó, từ đây",,
从而,cóng'ér,tuy nhiên,,
仓促,cāngcù,"vội vàng, vội vã",,
仓库,cāngkù,"kho, nhà kho",,
仔细,zǐxì,"tỉ mĩ, kỷ càng, cẩn trọng",,
他,tā,"anh ta, anh ấy",,
他人,tārén,"người khác, kẻ khác",,
付,fù,"chi, chi trả",,
付款,fùkuǎn,thanh toán,,
代价,dàijià,cái giá phải trả,,
代替,dàitì,thay thế,,
代理,dàilǐ,dại lý,,
代表,dàibiǎo,"đại diện, đại diện, thay mặt",đại biểu,
令,lìng,"khiến, lệnh",,
以,yǐ,"để, theo như",,
以上,yǐshàng,trở lên,,
以下,yǐxià,trở xuống,,
以为,yǐwéi,"tưởng rằng, cho là",,
以便,yǐbiàn,"để, nhằm",,
以免,yǐmiǎn,để tránh khỏi,,
以前,yǐqián,"trước, lúc trước",,
以及,yǐjí,"và, cùng",,
以后,yǐhòu,"sau, lúc sau",,
以往,yǐwǎng,"ngày xưa, ngày trước",,
以来,yǐlái,"đến nay, trước nay",,
以至,yǐzhì,"cho đến, cứ thế",,
以致,yǐzhì,"đến nỗi, khiến",,
仪器,yíqì,"máy móc, dụng cụ",,
仪式,yíshì,nghi thức,,
件,jiàn,"cái, kiện (lượng từ)",,
价值,jiàzhí,giá trị,,
价格,jiàgé,giá cả,,
任何,rènhé,bất kỳ,,
任务,rènwù,nhiệm vụ,,
任命,rènmìng,vận mệnh,,
任性,rènxìng,"tùy hứng, tùy thích",,
任意,rènyì,"tùy ý, mặc ý",,
任重道远,rènzhòngdàoyuǎn,gánh nặng đường xa,,
份,fèn,phần,,
仿佛,fǎngfú,dường như,,
企业,qǐyè,doanh nghiệp,,
企图,qìtú,"ý đồ, mưu đồ",,
休息,xiūxí,nghỉ ngơi,,
休闲,xiūxián,"hưu nhàn, rảnh rỗi",,
众人,zhòngrén,mọi người,,
众所周知,zhòngsuǒzhōuzhī,mọi người đều biết,,
优先,yōuxiān,ưu tiên,,
优势,yōushì,ưu thế,,
优异,yōuyì,nổi trội ưu việt,,
优惠,yōuhuì,ưu đãi,,
优点,yōudiǎn,ưu điểm,,
优秀,yōuxiù,"ưu tú, xuất sắc",,
优美,yōuměi,"ưu mỹ, tươi đẹp",,
优胜劣汰,yōushèngliètài,(ý chỉ người/việc ưu viết hơn thắng và đào thải nhưng người/việc xấu),,
优质,yōuzhì,"chất lượng tốt, ưu chất",,
优越,yōuyuè,ưu việt,,
优雅,yōuyǎ,"tao nhã, xinh đẹp",,
伙伴,huǒbàn,đối tác,,
伙子,huǒzi,thanh niên,,
会,huì,1. sẽ; 2. biết (thông qua học tập),,
会晤,huìwù,hội ngộ,,
会计,kuàijì,kế toán,,
会议,huìyì,hội nghị,,
伞,sǎn,"cái ô, cây dù",,
伟大,wěidà,vĩ đại,,
传单,chuándān,truyền đơn,,
传授,chuánshòu,"truyền thụ, truyền dạy",,
传播,chuánbò,truyền phát,,
传染,chuánrǎn,"truyền nhiễm, lây lan",,
传真,chuánzhēn,fax,,
传真机,chuánzhēn jī,máy fax,,
传统,chuántǒng,truyền thống,,
传记,zhuànjì,"truyện ký, truyện",,
传说,chuánshuō,truyền thuyết,,
传达,chuándá,truyền đạt,,
传递,chuándì,truyền đưa,,
伤害,shānghài,"tổn thương, làm hại",,
伤心,shāngxīn,"đau thương, thương tâm",,
伤脑筋,shāng nǎojīn,hao tổn tâm trí,,
伪造,wèizào,"giả tạo, ngụy tạo",,
伯母,bómǔ,bác gái,,
估计,gūjì,khoảng,,
伴侣,bànlǚ,"đối tác, bạn đồng hành",,
伴随,bànsuí,"đi đôi với, kèm theo",,
伶俐,línglì,"linh hoạt, lanh lợi",,
伸,shēn,"duỗi, duỗi ra, vói",,
伺候,cìhòu,"hầu hạ, chăm sóc",,
似乎,sìhū,"hình như, dường như",,
似的,shì de,"tự như, tựa như",,
但,dàn,nhưng,,
但是,dànshì,"nhưng mà, tuy nhiên",,
位,wèi,"vị (vị trí, vị khách)",,
位于,wèiyú,"ở vào, nằm ở",,
位置,wèizhì,vị trí,,
低,dī,"thấp, dưới",đê,
住,zhù,"ở, trú đóng",,
住宅,zhùzhái,"nơi ở, nhà ở",,
住院,zhùyuàn,nhập viện,,
体会,tǐhuì,"thể hội, lĩnh hội, nhận thức",,
体现,tǐxiàn,thể hiện,,
体积,tǐjī,thể tích,,
体系,tǐxì,hệ thống,,
体育,tǐyù,thể dục,,
体育馆,tǐyùguǎn,thể dục quán,,
体能,tǐnéng,thểnăng,,
体谅,tǐliàng,"thông cảm, châm chước",,
体质,tǐzhí,thể chất,,
体贴,tǐtiē,thể,,
体重,tǐzhòng,thể trọng,,
体面,tǐmiàn,thể diện,,
体验,tǐyàn,thể nghiệm,,
何况,hékuàng,huống hồ,,
何必,hébì,"hà tất, hà cớ",,
作业,zuòyè,bài tập về nhà,,
作为,zuòwéi,"trở thành, xem như",,
作品,zuòpǐn,tác phẩm,,
作家,zuòjiā,tác gia,,
作废,zuòfèi,"mất tác dụng, xóa bỏ",,
作弊,zuòbì,làm càn,,
作息,zuòxí,làm việc và nghỉ ngơi,,
作文,zuòwén,"tác văn, bài văn",,
作用,zuòyòng,tác dụng,,
作者,zuòzhě,tác giả,,
作风,zuòfēng,tác phong,,
你,nǐ,bạn,,
佩服,pèifú,bái phục,,
佳肴,jiāyáo,"món ngon, cao lương mỹ vị",,
使,shǐ,"khiến, làm cho",,
使劲儿,shǐjìn er,"gắng sức, ra sức",,
使命,shǐmìng,sứ mệnh,,
使用,shǐyòng,sử dụng,,
例外,lìwài,ngoại lệ,,
例如,lìrú,"ví dụ, ví như",,
供不应求,gōngbùyìngqiú,cung không ứng cầu,,
供给,gōngjǐ,cung cấp,,
依托,yītuō,"dựa vào, nương tựa",,
依据,yījù,"căn cứ, dựa vào",,
依旧,yījiù,như cũ,,
依次,yīcì,"lần lượt, theo thứ tự",,
依然,yīrán,vẫn cứ,,
依赖,yīlài,ỷ lại,,
依靠,yīkào,"nhờ, dựa vào",,
侦探,zhēntàn,trinh thám,,
侧面,cèmiàn,mặt bên,,
侮辱,wǔrǔ,"làm nhục, sỉ nhục",,
侵犯,qīnfàn,"xâm phạm, can thiệp",,
侵略,qīnlüè,"xâm lược, xâm lăng",,
便,biàn,"bèn, liền",,
便于,biànyú,"tiện việc, dễ ….",,
便利,biànlì,tiện lợi,,
便宜,piányí,rẻ,,
便条,biàntiáo,"giấy nhắn tin, note stick",,
促使,cùshǐ,"thúc sứ, thúc đẩy, thúc giục",,
促进,cùjìn,xúc tiến,,
俗话,súhuà,tục ngữ,,
俘虏,fúlǔ,bắt tù binh,,
保养,bǎoyǎng,bảo dưỡng,,
保卫,bǎowèi,bảo vệ,,
保姆,bǎomǔ,bảo mẫu,,
保存,bǎocún,bảo tồn,,
保守,bǎoshǒu,bảo thủ,,
保密,bǎomì,bảo mật,,
保护,bǎohù,"bảo hộ, bảo vệ",bảo hộ,
保持,bǎochí,"bảo trì, giữ, gìn giữ; ",,
保留,bǎoliú,bảo lưu,,
保管,bǎoguǎn,bảo quản,,
保证,bǎozhèng,"bảo chứng, bảo đảm",,
保重,bǎozhòng,bảo trọng,,
保险,bǎoxiǎn,bảo hiểm,,
保障,bǎozhàng,"bảo đảm, bảo vệ",,
信,xìn,"tin, thư",tín,
信仰,xìnyǎng,tín ngưỡng,,
信任,xìnrèn,tín nhiệm,,
信号,xìnhào,tín hiệu,,
信封,xìnfēng,"tín phong, phong thư",,
信心,xìnxīn,"lòng tin, niềm tin",,
信念,xìnniàn,"tín niệm, niềm tin",,
信息,xìnxī,"tin tức, thông tin",,
信用卡,xìnyòngkǎ,thẻ tín dụng,,
信誉,xìnyù,"tín dự, lòng tín và danh dự",,
信赖,xìnlài,ỷ lại,,
俩,liǎ,"hai, đôi",,
修,xiū,"sửa, trang trí",,
修养,xiūyǎng,"trình độ (về lý luận, tri thức); tu dưỡng",,
修复,xiūfù,sửa chữa phục hồi (công trinh,,
修建,xiūjiàn,thi công,,
修改,xiūgǎi,"tu cải, sửa chữa",,
修理,xiūlǐ,sửa chữa,,
俯仰,fǔyǎng,cúi đầu và ngẩng đầu,,
俱乐部,jù lè bù,câu lạc bộ,,
倍,bèi,"lần, gấp bội",,
倒,dào,"ngã, đảo",,
倒闭,dǎobì,"đóng cửa, sập tiệm",,
倒霉,dǎoméi,xui xẻo,,
候选,hòuxuǎn,"người được đề cử, người ứng cử",,
借,jiè,mượn,,
借助,jièzhù,"nhờ vào, cậy vào",,
借口,jièkǒu,"viện cớ, cái cớ",,
借宿,jièsù,"tá túc, ở nhà",,
借鉴,jièjiàn,"lấy làm gương, điều răn",,
倡导,chàngdǎo,khởi xướng,,
倡议,chàngyì,đề xướng,,
债券,zhàiquàn,"công trái, trái khoản",,
值得,zhídé,"đáng được, xứng đáng, ",,
值班,zhíbān,"trực ban, ca trực",,
倾向,qīngxiàng,"nghiêng về, hướng về",,
倾听,qīngtīng,lắng nghe,,
倾斜,qīngxié,nghiêng; lệch,,
假,jiǎ,giả,,
假使,jiǎshǐ,nếu như; giả như,,
假如,jiǎrú,"giả như, giả dụ",,
假日,jiàrì,ngày nghỉ,,
假期,jiàqī,kỳ nghỉ,,
假装,jiǎzhuāng,giả trang,,
假设,jiǎshè,giả như; giả thuyết,,
偏偏,piānpiān,"lại, cứ, khăng khăng, khư khư",,
偏僻,piānpì,"hoang vu, hẻo lánh",,
偏差,piānchā,"độ lệch, độ chếch",,
偏见,piānjiàn,phiến diện,,
做,zuò,làm,,
做不到,zuò bù dào,làm không được,,
做东,zuò dōng,làm ông chủ,,
做主,zuòzhǔ,làm chủ,,
做事,zuòshì,làm việc,,
做到,zuò dào,làm được,,
做客,zuòkè,làm khách,,
做成,zuò chéng,làm thành,,
做梦,zuòmèng,nằm mộng,,
做法,zuòfǎ,cách làm,,
做生意,zuò shēngyì,"làm ăn, làm kinh doanh",,
做错,zuò cuò,làm sai,,
停,tíng,dừng,,
停止,tíngzhǐ,dừng lại,,
停泊,tíngbó,"đỗ, cập bến",,
停滞,tíngzhì,"đình trệ, ứ đọng, đọng lại",,
停车,tíngchē,"dừng xe, đậu xe",,
停顿,tíngdùn,"tạm dừng, ngừng lại",,
健全,jiànquán,kiện toàn,,
健康,jiànkāng,khỏe mạnh,,
健身房,jiànshēnfáng,phòng Gym,,
偶尔,ǒu'ěr,thỉnh thoảng,,
偶然,ǒurán,ngẫu nghiên,,
偿还,chánghuán,"bồi hoàn, trả nợ",,
傍晚,bàngwǎn,chạng vạng,,
储备,chúbèi,"dự trữ, chứa",,
储存,chúcún,"dự trữ, dành dụm (tiền hoặc vật)",,
储蓄,chúxù,"tiết kiệm, để dành",,
催,cuī,"thúc, giục",,
傻,shǎ,ngốc,,
像,xiàng,giống,,
僵硬,jiāngyìng,"cứng đờ, cứng nhắc",,
儿子,érzi,con trai,,
儿童,értóng,"nhi đồng, thiếu nhi",,
允许,yǔnxǔ,cho phép,,
元,yuán,"nguyên, đầu tiên, đứng đầu",,
元宵,yuánxiāo,nguyên tiêu,,
元宵节,yuánxiāo jié,tết nguyên tiêu,,
元旦,yuándàn,nguyên đán,,
元素,yuánsù,nguyên tố,,
元首,yuánshǒu,nguyên thủ,,
兄弟,xiōngdì,huynh đệ,,
充分,chōngfèn,đầy đủ,,
充实,chōngshí,"phong phú, tăng cường",,
充当,chōngdāng,giữ chức,,
充沛,chōngpèi,"dồi dào, mãnh liệt",,
充满,chōngmǎn,"đầy đủ, tràn đầy",,
充电器,chōngdiàn qì,máy sạc pin,,
